frame_id,timestamp,class_name,confidence,x,y,width,height
1,1.00,TATA IPL,0.86,19,14,97,90
2,0.07,TATA IPL,0.38,225,420,50,69
2,0.07,philips,0.72,437,114,86,48
2,0.07,Balkrishna Industries,0.73,383,340,200,87
2,0.07,TATA IPL,0.86,19,14,97,90
3,0.10,TATA IPL,0.27,260,423,54,72
3,0.10,philips,0.73,469,114,98,52
3,0.10,Balkrishna Industries,0.80,425,344,195,82
3,0.10,TATA IPL,0.86,19,16,97,88
4,0.13,TATA IPL,0.27,260,423,54,72
4,0.13,philips,0.73,469,115,98,51
4,0.13,Balkrishna Industries,0.79,426,344,193,82
4,0.13,TATA IPL,0.86,19,16,97,88
5,0.17,TATA IPL,0.31,281,419,51,66
5,0.17,philips,0.75,492,115,93,51
5,0.17,Balkrishna Industries,0.76,447,339,192,85
5,0.17,TATA IPL,0.85,20,16,94,88
6,0.20,TATA IPL,0.32,281,419,51,65
6,0.20,philips,0.75,492,115,94,51
6,0.20,Balkrishna Industries,0.76,447,339,191,85
6,0.20,TATA IPL,0.86,20,16,94,88
7,0.23,TATA IPL,0.32,300,416,60,67
7,0.23,Balkrishna Industries,0.69,439,334,219,88
7,0.23,philips,0.71,511,112,90,50
7,0.23,TATA IPL,0.84,21,16,92,89
8,0.27,TATA IPL,0.48,328,359,46,59
8,0.27,Balkrishna Industries,0.74,480,337,190,78
8,0.27,philips,0.76,523,111,92,52
8,0.27,TATA IPL,0.84,21,14,92,91
9,0.30,TATA IPL,0.56,302,358,52,65
9,0.30,philips,0.72,537,109,90,54
9,0.30,Balkrishna Industries,0.74,481,333,213,90
9,0.30,TATA IPL,0.84,20,12,97,94
10,0.33,TATA IPL,0.69,277,359,50,70
10,0.33,philips,0.76,543,113,96,53
10,0.33,Balkrishna Industries,0.78,515,331,185,91
10,0.33,TATA IPL,0.84,20,13,96,93
11,0.37,Kuhl,0.27,381,344,69,64
11,0.37,TATA IPL,0.68,254,364,48,70
11,0.37,philips,0.76,553,117,98,53
11,0.37,Balkrishna Industries,0.78,530,326,189,91
11,0.37,TATA IPL,0.84,20,12,96,95
12,0.40,Kuhl,0.25,381,344,68,64
12,0.40,TATA IPL,0.69,254,364,48,71
12,0.40,philips,0.77,552,117,99,53
12,0.40,Balkrishna Industries,0.77,529,326,190,90
12,0.40,TATA IPL,0.84,19,12,99,94
13,0.43,Kuhl,0.27,367,349,93,57
13,0.43,Balkrishna Industries,0.28,360,350,103,56
13,0.43,TATA IPL,0.60,232,369,40,76
13,0.43,philips,0.72,567,116,93,53
13,0.43,Balkrishna Industries,0.81,540,326,188,83
13,0.43,TATA IPL,0.84,19,12,99,95
14,0.47,Kuhl,0.25,344,349,103,66
